num_downloads,month
1648,2021-05-01
43211,2021-04-01
45495,2021-03-01
32202,2021-02-01
35310,2021-01-01
38004,2020-12-01
45632,2020-11-01
41067,2020-10-01
38287,2020-09-01
41449,2020-08-01
39007,2020-07-01
37040,2020-06-01
38038,2020-05-01
37518,2020-04-01
35795,2020-03-01
33755,2020-02-01
31212,2020-01-01
32650,2019-12-01
36695,2019-11-01
34855,2019-10-01
29817,2019-09-01
28708,2019-08-01
35967,2019-07-01
35541,2019-06-01
36120,2019-05-01
24741,2019-04-01
28205,2019-03-01
21738,2019-02-01
24589,2019-01-01
20630,2018-12-01
23344,2018-11-01
25992,2018-10-01
15349,2018-09-01
15065,2018-08-01
5173,2018-07-01
5115,2018-06-01
6704,2018-05-01
6426,2018-04-01
5271,2018-03-01
5111,2018-02-01
6240,2018-01-01
5979,2017-12-01
5437,2017-11-01
4605,2017-10-01
3705,2017-09-01
3388,2017-08-01
2908,2017-07-01
2474,2017-06-01
2502,2017-05-01
1886,2017-04-01
2346,2017-03-01
1246,2017-02-01
976,2017-01-01
